,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
33,techbot_01,Just a bot created to help developers written in #Python by @akm_nitrkl,,7,17,1183,25,"There are currently two ways to load &amp; #update #firmware on #Hexabitz modules🌟🧩
Check out this article🔎https://t.co/RrZTSV11mx
#PCB #coding #makers #Linux #wearables #IoT #3D #AI #edtech #hardware #3Dprinting #100DaysOfCode #embedded #STMicroelectronics @ST_World @Hacksterio https://t.co/BP5UBzS8Wc","['update', 'firmware', 'Hexabitz']"
34,nlognbot,"Hi, I'm a bot that retweets #100daysofcode     
                 
P.S. I was created by @NlognHQ follow them.",Server,3,4442,365473,2,"My latest blog on 5 modern practices that you should know.
#100DaysOfCode #javascript #DevCommunity https://t.co/FnkfhDaL0x","['100DaysOfCode', 'javascript', 'DevCommunity']"
35,Women_who_code,24 🧬 ~ Javascript ❤️ ~ Mern Stack Developer ~ Next JS 🦄 ~ @nytimes ~ Books 📚 + coffee ☕,bootcamp,25,809,104682,2,"My latest blog on 5 modern practices that you should know.
#100DaysOfCode #javascript #DevCommunity https://t.co/FnkfhDaL0x","['100DaysOfCode', 'javascript', 'DevCommunity']"
36,AnuragKanoria11,"Amateur Full Stack Web dev 🚀
Introvert 💭 Blogger ✍️
Homo sapien,living on Earth🙋
Merch link: https://t.co/qdVg0EdgCU ||
MERN,MEVN,Flutter developer 📱👨‍💻",India,238,123,1368,2,"My latest blog on 5 modern practices that you should know.
#100DaysOfCode #javascript #DevCommunity https://t.co/FnkfhDaL0x","['100DaysOfCode', 'javascript', 'DevCommunity']"
37,CoderNotesBot,"RT bot for #60DaysOfUdacity #30Days30Sites #100DaysOfCode #301DaysOfCode
Written in #nodejs using #twit. By @shahidcodes",codeanywhere.com,63,7407,683185,2,"#100DaysOfCode
Day 35
Continuing with the game of Pong, today I programmed the players to move by pressing the keys on the keyboard; just like the ball moves from place https://t.co/iBqSm9rGDu",['100DaysOfCode']
38,techbot_01,Just a bot created to help developers written in #Python by @akm_nitrkl,,7,17,1183,1,"I can say that by developing @chooseyourplant🌱 I've learned👇:
- How to do market research, SEO plan, and keyword research based on behavior
- More #UX
- How to analyze metrics with @googleanalytics
- Create a backend from scratch
- and more!

#100DaysOfCode #reactjs #javascript https://t.co/3kUvutSR4O",[]
39,arinze_xavier,"MAN U🔴 



Cool Calm Gravy •
Software Developer •
In love with Python🐍•




Believe •","London, England",1096,643,11100,7,wait groups and go routines with Golang 🤯  #100DaysOfCode #golang https://t.co/tH0q4uzxsa,"['100DaysOfCode', 'golang']"
40,_codenewbiebot,Beep boop. I am a bot created by https://t.co/i0ytpsE5Sj to support code newbies.,,9,851,88378,12,"Day 8/100

Finished with Making our Website Responsive section from CSS The Complete Guide course from @academind_real.

#100DaysOfCode #100DaysOfX #CodeNewbie #freeCodeCamp #javascript #learning #webdeveloper #CodeHabit365 #HTML #CSS",[]
41,TCrossmd,#Designer #Programmer #ITIL #cheats #Leadership #Mgmt #SharePoint #selfImprovement #quotes #bigData #Design #Programming #hacker #cyberSecurity #personalTweets,Greater Detroit Area,231,862,15168,6,"Frosted Glass Effect

video: https://t.co/95vOfgSLSX

#bootstrap #html #css #javascript #FrontEnd #design #website #webdev #rwd #responsive #UI #tutorials #web #animation #jQuery #plugin #CodeGoals #codingisfun #100DaysOfCode #javascript #webdev https://t.co/LeWutEU0ps","['bootstrap', 'html', 'css', 'javascript', 'FrontEnd', 'design', 'website', 'webdev']"
42,techbot_01,Just a bot created to help developers written in #Python by @akm_nitrkl,,7,17,1183,12,"https://t.co/cq65sAFDHC

#PPOM #Fancy #Cropper allows customers to #upload images and crop before sending to the #cart #Admin can set #options
#javascript #100DaysOfCode #webdevelopment #CodeNewbie #codinglife #Coding #programming #programmer  #flutter #FullStack #DEVCommunity https://t.co/DhK8xS8s2M","['PPOM', 'Fancy', 'Cropper', 'upload', 'cart', 'Admin']"
43,coder_487,A bot helping coders and designers by showcasing their creation and progress.,,0,297,38941,10,"Day 16 of #100DaysOfSwiftUI ✅
The first of the first project in the course! Finally I can attach my Xcode screenshot instead of a random image from internet 🤠 Theory only today, real development and implementation starts tomorrow 🥳

@SwiftLang
#100DaysOfCode #Swift #SwiftUI https://t.co/PUCQMhO86D",['100DaysOfSwiftUI']
44,coder_487,A bot helping coders and designers by showcasing their creation and progress.,,0,297,38941,10,"Day 16 of #100DaysOfSwiftUI ✅
The first of the first project in the course! Finally I can attach my Xcode screenshot instead of a random image from internet 🤠 Theory only today, real development and implementation starts tomorrow 🥳

@SwiftLang
#100DaysOfCode #Swift #SwiftUI https://t.co/PUCQMhO86D",['100DaysOfSwiftUI']
45,TCrossmd,#Designer #Programmer #ITIL #cheats #Leadership #Mgmt #SharePoint #selfImprovement #quotes #bigData #Design #Programming #hacker #cyberSecurity #personalTweets,Greater Detroit Area,231,862,15168,6,"Day 62 of #100DaysOfCode Another small feature 🧮 is taking shape 🧱 for my little podcast website.
✅ Added a search input with autocomplete and basic css animations.
🔲 Make back-end's answer dynamic👷

#100daysofcodechallenge #javascript #buildinpublic https://t.co/Ocrt8KADNB",['100DaysOfCode']
46,techbot_01,Just a bot created to help developers written in #Python by @akm_nitrkl,,7,17,1183,15,"📣 Hey #JavaScript Devs! Can you solve this?

💬 Post your answer: https://t.co/duM41iQyMa

#100DaysOfCode #CodeNewbie #DEVCommunity #Techdegree https://t.co/LyhBjuysPe","['JavaScript', '100DaysOfCode', 'CodeNewbie']"
47,nlognbot,"Hi, I'm a bot that retweets #100daysofcode     
                 
P.S. I was created by @NlognHQ follow them.",Server,3,4442,365473,7,wait groups and go routines with Golang 🤯  #100DaysOfCode #golang https://t.co/tH0q4uzxsa,"['100DaysOfCode', 'golang']"
48,Women_who_code,24 🧬 ~ Javascript ❤️ ~ Mern Stack Developer ~ Next JS 🦄 ~ @nytimes ~ Books 📚 + coffee ☕,bootcamp,25,809,104682,7,wait groups and go routines with Golang 🤯  #100DaysOfCode #golang https://t.co/tH0q4uzxsa,"['100DaysOfCode', 'golang']"
49,CoderNotesBot,"RT bot for #60DaysOfUdacity #30Days30Sites #100DaysOfCode #301DaysOfCode
Written in #nodejs using #twit. By @shahidcodes",codeanywhere.com,63,7407,683185,7,wait groups and go routines with Golang 🤯  #100DaysOfCode #golang https://t.co/tH0q4uzxsa,"['100DaysOfCode', 'golang']"
50,CoderNotesBot,"RT bot for #60DaysOfUdacity #30Days30Sites #100DaysOfCode #301DaysOfCode
Written in #nodejs using #twit. By @shahidcodes",codeanywhere.com,63,7407,683185,14,"Day 4️⃣ 6️⃣ of #100DaysOfCode 
I reviewed some of #Javascript concepts and continue where I left off","['100DaysOfCode', 'Javascript']"
51,techbot_01,Just a bot created to help developers written in #Python by @akm_nitrkl,,7,17,1183,5,"@VivianFrancos @KirkDBorne @DanielAKeane10 @Fabriciosx @gp_pulipaka @the404code @reachcsrini @ume_kyd @kellylewis5587 @fajar17 #DATAMiNiNG via NOdeXL @nodexl 

Ty
@VivianFrancos 
&amp; Everyone

#bigdata 
#AI #IoT #Tech #Data #USA #Linux #UK #javaScript #FinTech #dataScience #dataScientist #WomenWhoCode #Rstats #FemTech #100daysOfCode #FRENCHtech #France #digitalTransformation🍁",[]
52,nlognbot,"Hi, I'm a bot that retweets #100daysofcode     
                 
P.S. I was created by @NlognHQ follow them.",Server,3,4442,365473,6,"Frosted Glass Effect

video: https://t.co/95vOfgSLSX

#bootstrap #html #css #javascript #FrontEnd #design #website #webdev #rwd #responsive #UI #tutorials #web #animation #jQuery #plugin #CodeGoals #codingisfun #100DaysOfCode #javascript #webdev https://t.co/LeWutEU0ps","['bootstrap', 'html', 'css', 'javascript', 'FrontEnd', 'design', 'website', 'webdev']"
